name_director;id_director
Edward Zwick;1041
Ken Burns;1042
Stefan Brogren;1043
Sydney Freeland;1044
Rakeysh Omprakash Mehra;1045
Abhinay Deo;1046
Gupse Özay;1047
Dennis Iliadis;1048
Camilla Nielsson;1049
Will Canon;1050
Christian Gudegast;1051
Diego Kaplan;1052
Frederick Cipoletti;1053
Sam Patton;1054
LP;1055
Lucas Figueroa;1056
Gabriela Tagliavini;1057
Su I-Hsuan;1058
Mohamed Samy;1059
Christopher Smith;1060
Jamal Hill;1061
Michael Feifer;1062
Saara Cantell;1063
Clay Staub;1064
Masaaki Yuasa;1065
Indra Kumar;1066
Vivek Agnihotri;1067
Fuwad Khan;1068
Manish Saini;1069
Kiran Rao;1070
Umesh Shukla;1071
Hark Tsui;1072
Ben Ryder;1073
Benoît Jacquot;1074
Kirsten Johnson;1075
Johnny Breedt;1076
Volker Weicker;1077
Joey So;1078
Farhan Akhtar;1079
Zoya Akhtar;1080
Kundan Shah;1081
Mani Ratnam;1082
Manjeet Maan;1083
Fajar Bustomi;1084
Chia-Liang Liu;1085
B. Subhash;1086
David 'Tosh' Gitonga;1087
Todd Standing;1088
Benjamin Arfmann;1089
Houda Benyamina;1090
Bruno Garotti;1091
Quentin Tarantino;1092
Maïwenn;1093
Habib Faisal;1094
Deepti Naval;1095
David Lean;1096
Paul Schrader;1097
Alankrita Shrivastava;1098
Francis Whately;1099
Debbie Allen;1100
Philip Marlatt;1101
Charles Martin Smith;1102
Mahin Ibrahim;1103
Jared Hess;1104
Troy Nixey;1105
Mark Lewis;1106
Caradog W. James;1107
Daniel Gordon;1108
Mike Birbiglia;1109
Ángel Gómez Hernández;1110
Mike Newell;1111
Andrzej Bartkowiak;1112
Tony Giglio;1113
Gagan Puri;1114
KVR Mahendra;1115
Tarun Mansukhani;1116
Cris D'Amato;1117
Bruce Beresford;1118
Teddy Chan;1119
John Patrick Shanley;1120
Aleksey German;1121
M.J. Isakson;1122
Kubhaer T. Jethwani;1123
Bo Welch;1124
Scott Mosier;1125
Chris Renaud;1126
Takashi Yamazaki;1127
Wilson Yip;1128
Rob Cohen;1129
Colin Teague;1130
Doug Lefler;1131
Patrik Syversen;1132
Ivan Silvestrini;1133
Elaine Bogan;1134
TJ Sullivan;1135
Greg Rankin;1136
Greg MacGillivray;1137
Tristan Ferland Milewski;1138
Andrew Jenks;1139
Reiner Holzemer;1140
Yeung Yat-Tak;1141
Nishikant Kamat;1142
Fred Wolf;1143
Che Sandoval;1144
Norihisa Hiranuma;1145
Miguel Arteta;1146
Chris Jenkins;1147
Olivia Milch;1148
Afia Nathaniel;1149
Eeshwar Nivas;1150
Anne Fletcher;1151
Ramesh Talwar;1152
Shagufta Rafique;1153
Emma Hatherley;1154
Katy Chevigny;1155
Julien Leclercq;1156
Dave Green;1157
Wash Westmoreland;1158
Anthony Lucero;1159
Will Gluck;1160
Ryan Murphy;1161
Sarjun;1162
Andrew Slater;1163
Matt Bell;1164
Bruce Gowers;1165
Robert Townsend;1166
Bobby Roth;1167
David Moreton;1168
Halder Gomes;1169
Francesco Imperato;1170
Tharun Bhascker;1171
Ajithkumar;1172
Richard Laxton;1173
Naya Anindita;1174
Harjit Singh;1175
Saeed Hamed;1176
Suparn Verma;1177
Shelly Chopra Dhar;1178
Shakun Batra;1179
Yılmaz Erdoğan;1180
Philipp Stölzl;1181
David E. Talbert;1182
Vince Gilligan;1183
Matías Gueilburt;1184
Joseduardo Giordano;1185
Justin Webster;1186
Pablo Aulita;1187
Emir Kusturica;1188
Lorena Munoz;1189
Alessandro Angulo;1190
Gabriela García Rivas;1191
Kate Horne;1192
Federico Lemos;1193
Peter Mimi;1194
K. Ramanlal;1195
Petra Costa;1196
Bassam Kurdali;1197
Akhigbe Ilozobhie;1198
Chanda Bell;1199
Ciarán Foy;1200
Isabel Coixet;1201
John Bridcut;1202
Sebastian Gutierrez;1203
Joel Gallen;1204
Fabien Beziat;1205
Hugues Nancy;1206
Nils Tavernier;1207
Jennifer Westcott;1208
Jon Spira;1209
Michael Thelin;1210
Saurabh Kabra;1211
Riri Riza;1212
Neil Triffett;1213
Kim Nguyen;1214
Greg Coolidge;1215
Ajay Phansekar;1216
Rob Epstein;1217
Denis Villeneuve;1218
Praveen Nischol;1219
Max Amini;1220
Jenny Carchman;1221
Harry Bradbeer;1222
Jason James;1223
Alex Burunova;1224
Robert Clouse;1225
Matthias Hoene;1226
Drake Doremus;1227
Kurt Wimmer;1228
Eric Notarnicola;1229
Eric Idle;1230
Paul Urkijo Alijo;1231
